GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US4810768,Brownsville city,186738,65196,648,1265,1148,47,38258,80176,175310,63191,57460,5731,22939,34521,74034,7298,81332,0.4854,104100,47435
1600000US5156000,Newport News city,186247,74676,78687,940,6356,441,8892,16255,19288,81901,75630,6271,40062,35568,83545,6402,89947,0.427,227200,58937
1600000US1224000,Fort Lauderdale city,182760,94692,50509,595,3640,88,10739,22497,35176,103140,84409,18731,41448,42961,96028,7150,103178,0.5538,395500,64912
1600000US4714000,Chattanooga city,181099,101585,52690,1280,4993,82,8033,12436,16581,85266,76816,8450,37820,38996,87223,5524,92747,0.5021,235900,55065
1600000US0473000,Tempe city,180587,107927,12132,5555,17473,750,14415,22335,39698,82626,75530,7096,46259,29271,108362,7486,115848,0.4615,414600,68662
1600000US1703012,Aurora city,180542,73354,19626,2976,19799,82,37433,27272,74981,62763,60103,2660,21526,38577,95878,6142,102020,0.4017,232400,83996
1600000US0670098,Santa Rosa city,178127,99224,4062,4039,10938,1033,34098,24733,61082,70300,66843,3457,30748,36095,86808,6906,93714,0.4451,638500,86459
1600000US4123850,Eugene city,176654,137514,3112,2038,7207,543,7261,18979,18729,77395,73534,3861,37953,35581,87615,7561,95176,0.5033,394800,59338
1600000US0622020,Elk Grove city,176124,57371,17854,1404,58982,2560,13579,24374,33392,56211,54897,1314,14581,40316,80998,7347,88345,0.3635,569900,109242
1600000US4164900,Salem city,175535,121266,3049,2924,5598,2373,19141,21184,41302,67411,64289,3122,28697,35592,79081,4687,83768,0.4385,351300,63927
1600000US0653896,Ontario city,175265,42332,11045,4184,16243,549,66663,34249,119928,53219,51312,1907,23250,28062,83012,6276,89288,0.4106,545200,73872
1600000US3710740,Cary town,174721,101743,13879,550,39089,95,6028,13337,14376,70171,66959,3212,23620,43339,92735,5235,97970,0.4417,463200,123857
1600000US0659451,Rancho Cucamonga city,174453,74323,16089,1954,25809,486,26326,29466,65261,60129,58277,1852,23121,35156,78400,5301,83701,0.4443,632700,83850
1600000US0653322,Oceanside city,174068,89605,7076,2466,13261,2110,31332,28218,63316,67371,63032,4339,26112,36920,79498,8289,87787,0.4199,631300,78125
1600000US0640130,Lancaster city,173516,56614,37032,2874,8129,326,41316,27225,78338,55137,53280,1857,21931,31349,64031,6433,70464,0.4871,377200,64242
1600000US0629000,Garden Grove city,171949,37604,1778,1993,72962,846,35984,20782,64102,48562,47362,1200,21783,25579,80126,7326,87452,0.4436,663900,74109
1600000US1255775,Pembroke Pines city,171178,54911,34725,548,9801,86,18863,52244,85133,66543,63080,3463,19981,43099,89008,4475,93483,0.4664,368400,76439
1600000US0827425,Fort Collins city,169810,137260,2503,1424,6110,180,6086,16247,21003,71625,67731,3894,32837,34894,97989,4233,102222,0.4476,485500,73945
1600000US0655156,Palmdale city,169450,45040,23080,3584,7419,361,60642,29324,104742,49686,48355,1331,16204,32151,68979,6256,75235,0.4161,399000,73417
1600000US2970000,Springfield city,169176,137235,8063,1334,3853,304,3731,14656,9926,84016,76066,7950,44252,31814,86321,4348,90669,0.4834,154600,41808
1600000US4715160,Clarksville city,166722,94978,40657,914,4143,867,6936,18227,19671,65752,61128,4624,28489,32639,68148,3030,71178,0.3788,211100,60686
1600000US0664224,Salinas city,163542,37673,2289,5469,9693,442,74616,33360,130178,44405,43163,1242,24087,19076,68629,3581,72210,0.3878,585100,80154
